,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,
201001,-3.35,0.4,0.33,-1.08,0.51,0,-5.33,
201002,3.39,1.49,3.18,-0.29,1.42,0,3.69,
201003,6.3,1.83,2.19,-0.61,1.74,0.01,3.57,
201004,2,4.96,2.96,0.61,1.75,0.01,3.16,
201005,-7.9,0.08,-2.48,1.3,-0.24,0.01,-0.2,
201006,-5.57,-2.42,-4.73,-0.1,-1.58,0.01,-2.7,
201007,6.92,0.04,-0.5,0.17,2.02,0.01,1.78,
201008,-4.77,-3.06,-1.73,0.6,-1.6,0.01,0.04,
201009,9.55,3.65,-3.02,-0.19,0.38,0.01,1.38,
201010,3.87,0.73,-2.46,1.28,-0.38,0.01,1.46,
201011,0.59,3.54,-0.9,0.32,1.79,0.01,2.73,
201012,6.82,0.97,3.56,-3.42,3.17,0.01,-3,
201101,1.98,-2.31,0.61,-0.64,0.81,0.01,-0.3,
201102,3.48,1.65,1.18,-1.83,0.84,0.01,1.88,
201103,0.46,2.56,-1.84,1.73,-0.07,0.01,3.45,
201104,2.9,-0.53,-2.44,1.12,-0.86,0,0.05,
201105,-1.27,-0.72,-1.85,1.92,-1.43,0,-0.6,
201106,-1.74,0.06,-0.2,2.27,-1.42,0,1.82,
201107,-2.35,-1.11,-0.91,2.68,-1.73,0,0.2,
201108,-5.96,-3.09,-2.43,3.41,-0.26,0.01,-0.27,
201109,-7.57,-3.49,-1.53,1.99,0.15,0,-2.4,
201110,11.34,3.25,0.06,-2.25,-0.73,0,-1.4,
201111,-0.27,-0.3,-0.52,1.94,1.44,0,3.88,
201112,0.75,-0.29,1.54,1.06,2.47,0,1.83,
201201,5.05,2.02,-0.93,-2.06,-1.48,0,-8.01,
201202,4.4,-1.67,0.42,-0.36,-0.08,0,-0.26,
201203,3.11,-0.48,1.19,-0.61,0.7,0,1.31,
201204,-0.84,-0.5,-0.77,1.3,0.66,0,3.72,
201205,-6.17,-0.08,-0.95,2.03,2.36,0.01,6.44,
201206,3.9,0.89,0.55,-1.06,0.45,0,-1.1,
201207,0.79,-2.81,-0.06,1.04,0.01,0,3,
201208,2.54,0.44,1.23,-1.5,-0.86,0.01,-2.35,
201209,2.73,0.57,1.62,-1.3,1.56,0.01,-1.13,
201210,-1.76,-0.83,3.52,-1.4,2.52,0.01,0.05,
201211,0.78,0.4,-0.86,0.38,0.81,0.01,0.53,
201212,1.18,1.92,3.48,-1.72,0.8,0.01,-2.93,
201301,5.57,0.42,1.01,-2.01,1.52,0,-1.82,
201302,1.29,-0.25,0.21,-0.59,0.61,0,1.23,
201303,4.03,0.88,-0.22,0.27,1.41,0,1.92,
201304,1.56,-2.24,0.44,0.39,0.43,0,0.22,
201305,2.81,2.04,2.67,-2,-0.95,0,-2.01,
201306,-1.2,1.54,-0.05,-0.28,-0.06,0,0.43,
201307,5.65,1.75,0.58,-1.35,0.57,0,1.74,
201308,-2.71,-0.03,-2.73,0.71,-2.17,0,0.04,
201309,3.77,2.65,-1.18,-0.54,-1.32,0,3.02,
201310,4.17,-1.5,1.22,2.75,0.89,0,0.02,
201311,3.12,1.44,0.19,0.26,0.06,0,0.39,
201312,2.8,-0.44,0,-0.58,0.08,0,0.02,
201401,-3.3,0.6,-1.99,-3.91,-1.54,0,1.61,
201402,4.68,0.13,-0.35,-0.25,-0.54,0,2.13,
201403,0.41,-1.13,4.9,2.02,1.92,0,-3.27,
201404,-0.19,-4.07,1.22,3.4,0.93,0,-3.82,
201405,2.04,-1.86,-0.1,-0.09,-0.96,0,0.89,
201406,2.61,3.06,-0.71,-1.83,-1.91,0,0.65,
201407,-2.03,-4.2,-0.08,0.93,0.51,0,-0.17,
201408,4.24,0.29,-0.57,-0.64,-0.69,0,0.83,
201409,-1.96,-3.66,-1.47,1.2,-0.59,0,0.6,
201410,2.51,3.66,-1.63,-0.39,0.21,0,-0.21,
201411,2.56,-2.3,-3.13,1.57,0.14,0,0.69,
201412,-0.05,2.83,2.12,-1.21,0.9,0,1.03,
201501,-3.09,-0.93,-3.45,1.58,-1.64,0,3.74,
201502,6.14,0.36,-1.79,-1.1,-1.75,0,-3.1,
201503,-1.09,3.08,-0.38,0.07,-0.62,0,2.7,
201504,0.6,-3.01,1.8,0.05,-0.62,0,-7.27,
201505,1.38,0.82,-1.11,-1.76,-0.83,0,5.68,
201506,-1.54,2.9,-0.82,0.35,-1.54,0,3.01,
201507,1.57,-4.58,-4.16,0.31,-2.44,0,9.97,
201508,-6.02,0.29,2.75,0.66,1.29,0,-2.16,
201509,-3.06,-2.8,0.55,1.8,-0.59,0,5.24,
201510,7.75,-2.06,-0.47,0.95,0.61,0,-3.19,
201511,0.57,3.3,-0.43,-2.65,-1.06,0,2.29,
201512,-2.15,-2.95,-2.57,0.34,0.12,0.01,3.34,
201601,-5.74,-3.44,2.08,2.78,3.05,0.01,1.6,
201602,-0.07,0.87,-0.61,3.31,1.94,0.02,-4.35,
201603,6.95,1,1.22,0.68,0.01,0.02,-5.04,
201604,0.91,1.23,3.22,-2.85,1.77,0.01,-5.98,
201605,1.78,-0.62,-1.62,-1.1,-2.54,0.01,1.47,
201606,-0.03,0.42,-1.49,1.45,1.9,0.02,4.2,
201607,3.94,2.47,-1.24,1.31,-1.16,0.02,-3.31,
201608,0.49,1.66,3.17,-1.85,-0.36,0.02,-3.41,
201609,0.27,1.81,-1.19,-2.18,0.03,0.02,0.26,
201610,-2.01,-4.02,4.11,0.99,0.25,0.02,0.51,
201611,4.85,6.96,8.29,-0.24,3.71,0.01,-4.77,
201612,1.81,0.44,3.47,1.24,-0.32,0.03,-0.27,
201701,1.94,-1.44,-2.76,-0.51,-1.06,0.04,-0.93,
201702,3.55,-2.3,-1.5,0.45,-1.8,0.04,-1.51,
201703,0.17,0.75,-3.33,0.63,-0.95,0.03,-0.97,
201704,1.08,0.41,-2.05,1.79,-1.6,0.05,0.48,
201705,1.07,-2.99,-3.82,0.99,-1.66,0.06,1.5,
201706,0.78,2.52,1.5,-2.26,0.04,0.06,-0.1,
201707,1.88,-1.64,-0.23,-0.75,-0.15,0.07,1.63,
201708,0.18,-1.83,-2.13,0.2,-2.38,0.09,3.31,
201709,2.49,4.76,3.15,-1.54,1.63,0.09,-1.35,
201710,2.25,-1.91,0.13,0.92,-3.14,0.09,4.21,
201711,3.12,-0.38,-0.09,3.19,-0.1,0.08,-0.94,
